Country FR,Country,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Saint-Martin (fr),Saint-Martin (fr),Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,,,,,,741.38,745.52,748.38,749,747.38,743.5,736.74,720.24,685.34,635.72,599.22,577.4,
Maroc,Morocco,Densité de la population (personnes par kilomètre carré de superficie des terres),63.6868362088281,64.5633945776384,65.4226798117858,66.2590522070356,67.1140891776832,68.0218328478602,68.9472955411158,69.8778131301815,70.8195541115841,71.7696123683621,72.7470669952946,73.745435805512,74.7372641720816,75.7059623571589,76.6407797445664,77.5433295989245,78.4751445216222,79.4227918440511,80.3041900067219,81.1357786242438,81.9722339233699,82.8017969975353,83.6411920233027,
Monaco,Monaco,Densité de la population (personnes par kilomètre carré de superficie des terres),16011.3468179576,16007.400098668,15995.066600888,15971.3862851505,15938.3325111002,15890.4785397139,15814.9975333004,15706.4627528367,15705.9694129255,15966.4528860385,16360.6314750863,16746.916625555,17124.3216576221,17487.4198322644,17823.3843117908,18133.6951159349,18389.7385298471,18588.061174149,18822.8909718796,18800.6906758757,18771.583621115,18487.0441458733,18680.9021113244,
Moldova,Moldova,Densité de la population (personnes par kilomètre carré de superficie des terres),101.844482362364,101.616986454017,101.381934046035,101.132058382973,100.846989588049,100.566888293243,100.287778048526,100.055661920841,99.8653879625439,99.739374107982,99.7787848154216,99.7210931780946,99.6732759521901,99.5771842462653,99.5164884911377,98.7560678343838,97.614165825121,95.9093883802694,94.2543946689506,92.756093569939,91.7473260542588,90.110355122019,88.0236014898876,
Madagascar,Madagascar,Densité de la population (personnes par kilomètre carré de superficie des terres),28.4010351824466,29.2893678852701,30.1783419885133,31.075857206727,31.9954053031606,32.946498951061,33.9287220139629,34.9392698696564,35.9800529628229,37.0521030367644,38.1458541114971,39.2273910913638,40.327672118186,41.4391371605363,42.5650532829151,43.7035097971812,44.8606943966999,46.0439584049502,47.2583808869027,48.5038741835682,49.7654795462358,51.0331436919904,52.3156772086628,
Maldives,Maldives,Densité de la population (personnes par kilomètre carré de superficie des terres),940.063333333333,955.89,972.053333333333,988.303333333333,1004.71,1021.43,1046.17,1081.59666666667,1120.56666666667,1160.91666666667,1202.64,1245.58,1289.39333333333,1333.56666666667,1378.72333333333,1427.18,1477.69333333333,1527.62333333333,1576.99666666667,1625.77,1673.72666666667,1720.51333333333,1747.02,
Afrique du Nord et Moyen-Orient,North Africa and Middle East,Densité de la population (personnes par kilomètre carré de superficie des terres),28.4904454292395,29.1213042645585,29.7153926734217,30.330800627468,31.0206660217387,31.7432932450982,32.4948771304091,33.256347456608,34.011394991698,34.7735242991362,35.3989843938358,36.1700699425062,36.9796174150121,37.8464891123573,38.6391683437522,39.4811956718437,40.2896617836318,41.0022364091076,41.6053766900444,42.2620344129852,42.9998889196752,43.5139065132416,44.5063117176661,
Mexique,Mexico,Densité de la population (personnes par kilomètre carré de superficie des terres),50.734613544587,51.4926304688907,52.2382900794774,52.9738496360503,53.7020658967566,54.4311859872939,55.1730579490213,55.9553280691376,56.7783574680419,57.6145070603668,58.4500090022892,59.2831626327838,60.0932163893104,60.8778893490059,61.6190030607783,62.2815946912215,62.8881149206513,63.4790282671879,64.0827752771419,64.6945559299365,65.227528485815,65.664316469045,66.1607124668844,
Îles Marshall,Marshall Islands,Densité de la population (personnes par kilomètre carré de superficie des terres),281.7,284.016666666667,285.694444444444,286.883333333333,287.727777777778,288.366666666667,288.844444444444,289.083333333333,289.055555555556,288.994444444444,289.133333333333,288.372222222222,285.661111111111,281.561111111111,276.644444444444,271.111111111111,265.05,258.494444444444,251.583333333333,244.483333333333,237.255555555556,229.816666666667,222.65,
Revenu intermédiaire,Middle income,Densité de la population (personnes par kilomètre carré de superficie des terres),72.1699943397038,73.2259090053969,74.2500123855282,75.249269928472,76.2688362939393,77.2760296796317,78.1472495999413,79.1356280251199,80.1409383353111,81.161755135135,82.1868659666611,83.2262490656075,84.3005762824352,85.3769690192941,86.4443497939835,87.468632180977,88.4808741789727,89.5030361963211,90.48298269581,91.421057352223,92.3030468140448,93.0661459201203,93.7861813185617,
Macédoine du Nord,North Macedonia,Densité de la population (personnes par kilomètre carré de superficie des terres),79.6834447502949,80.0189539913488,79.4399134880063,79.5408965788439,79.283759339363,78.8568619740464,78.4226110892646,78.5942528735632,78.1408244153785,77.6678033306899,77.1727993655829,76.8199048374306,76.5194686756542,76.2377478191911,76.0331879460745,75.8298969072165,75.5873513084853,75.2837827121332,74.9028945281523,74.3957969865186,73.5973037272006,72.8435368754956,72.6293417922284,
Mali,Mali,Densité de la population (personnes par kilomètre carré de superficie des terres),9.47335251067457,9.76254353830141,10.0706037584311,10.3958850670797,10.7380071956007,11.0955236479565,11.4655414320721,11.8487899425499,12.2446356714938,12.6501110482794,13.0677992771618,13.497118481548,13.8970430834542,14.3089313959301,14.7684106573566,15.2378088658324,15.7281152935199,16.2376441373884,16.7531531974529,17.2664953818668,17.7954548062187,18.348478515641,18.9090551471492,
Malte,Malta,Densité de la population (personnes par kilomètre carré de superficie des terres),1219.021875,1228.2125,1237.403125,1245.56875,1253.9625,1261.98125,1266.5875,1271.0125,1279.309375,1288.990625,1295.3375,1300.8375,1312.5875,1331.146875,1357.99375,1390.790625,1422.9875,1462.496875,1514.46875,1575.19375,1610.4125,1620.425,1660.971875,
Myanmar,Myanmar,Densité de la population (personnes par kilomètre carré de superficie des terres),69.3007941365486,70.0357116626373,70.7418872601524,71.406787648805,72.0344831808026,72.6067788049467,73.1252161537638,73.6397401762762,74.0701856698964,74.4840945966631,75.045742889508,75.6475990754489,76.3032167189773,76.9624823911313,77.6040209468978,78.2278679487965,78.8867551089188,79.5020114898506,80.0861758847863,80.6507017006282,81.2302112859485,81.7980020531049,82.3644215300228,
Afrique du Nord et Moyen-Orient (hors revenu élevé),North Africa and Middle East (excluding high income),Densité de la population (personnes par kilomètre carré de superficie des terres),33.3147925598743,33.9739109711544,34.5837488460123,35.2214384960231,35.9534516927299,36.718291524608,37.4895364186312,38.2279809805872,38.952805247692,39.715785027467,40.4885505388091,41.2615105632499,42.0469917651089,42.8712917864047,43.6874259352526,44.4654648274078,45.248745152376,46.069784589828,46.8770720300309,47.6944371773754,48.4619467893047,49.2169160360437,50.0823269833131,
Monténégro,Montenegro,Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,45.7267657992565,45.7899628252788,45.8713011152416,45.969814126394,46.054126394052,46.1025278810409,46.1413382899628,46.1863940520446,46.2312267657993,46.2571747211896,46.2678810408922,46.2730855018587,46.2622304832714,46.2474349442379,46.1937546468401,46.0379925650558,45.8894423791822,
Mongolie,Mongolia,Densité de la population (personnes par kilomètre carré de superficie des terres),1.54338839734181,1.56242113783138,1.58263236912359,1.59541792198924,1.6137036582467,1.63171323734666,1.64830525022335,1.6705735718479,1.69711733640935,1.72788137676538,1.75857916493112,1.78925253897917,1.82353600871754,1.8616184405066,1.90278211075515,1.94371713207737,1.98352563105577,2.02209412791248,2.06015649331677,2.09835043390369,2.13623721809195,2.17253662423347,2.20464400171549,
Mariannes,Marianas,Densité de la population (personnes par kilomètre carré de superficie des terres),148.6,147.791304347826,145.169565217391,142.219565217391,138.995652173913,135.552173913043,131.917391304348,128.132608695652,124.239130434783,120.271739130435,117.589130434783,116.539130434783,115.726086956522,114.691304347826,113.430434782609,111.986956521739,110.376086956522,108.60652173913,106.689130434783,104.628260869565,103.321739130435,102.128260869565,100.169565217391,
Mozambique,Mozambique,Densité de la population (personnes par kilomètre carré de superficie des terres),23.0545703095196,23.5735000890155,24.1083674559373,24.6604377018744,25.2299308222488,25.8203018896717,26.4338958264452,27.070417609807,27.746173605636,28.4744589129937,29.2469734733844,30.0732966250413,30.9492179353493,31.8568770823266,32.7939100689234,33.7592156463796,34.7632251583204,35.8177891095908,36.9015539561026,38.0024670006867,39.1460718736489,40.3212187492052,41.5273099519316,
Mauritanie,Mauritania,Densité de la population (personnes par kilomètre carré de superficie des terres),2.53559813718832,2.59897157271757,2.65708256524692,2.71858542737945,2.78321917143689,2.85151741534879,2.92389638110022,3.00093043562627,3.08845347821869,3.18661880275541,3.28996313185214,3.39847773357912,3.511238963811,3.62308916270496,3.7338837683128,3.84783060056272,3.96493354031241,4.08518482584651,4.20848452508004,4.33463471427185,4.46311341806539,4.59384301930727,4.73041331134181,
Maurice,Mauritius,Densité de la population (personnes par kilomètre carré de superficie des terres),584.666502463054,589.303940886699,593.409359605911,597.71921182266,601.479310344828,605.051231527094,607.879802955665,610.655172413793,612.867487684729,614.497044334975,615.960591133005,627.142714071107,628.884326489735,630.409113670506,631.551326990486,632.388082123185,632.822734101152,633.393590385578,633.739108662994,633.943415122684,633.957936905358,634.118177265899,632.209814722083,
Malawi,Malawi,Densité de la population (personnes par kilomètre carré de superficie des terres),120.024840899448,122.964128128978,126.012303775986,129.206342808655,132.591610097582,136.19040093339,139.994707254985,144.000243954179,148.243710224862,152.691854051761,157.259896054306,161.911561306746,166.626824352991,171.423589308443,176.299724225711,181.221754348748,186.229730589733,191.341907085278,196.521860415783,201.800509121765,207.190156979211,212.635320322444,218.166397963513,
Malaisie,Malaysia,Densité de la population (personnes par kilomètre carré de superficie des terres),69.9066078222493,71.6071769898037,73.3601491401613,75.1167310911581,76.8734500076092,78.6366489118856,80.4075757114594,82.1743691979912,83.9143478922538,85.6027332217319,87.2189194947497,88.7598204230711,90.2840693958302,91.8407091766854,93.4291188555775,95.0625414700959,96.7575254907929,98.4801217470705,100.170345457312,101.782364936844,103.148860143053,104.344541165728,105.601865773855,
Amérique du Nord,North America,Densité de la population (personnes par kilomètre carré de superficie des terres),17.2615410984068,17.4348675310152,17.6000776497052,17.7526765317171,17.917832754583,18.0841751268952,18.2602548803579,18.4350805767394,18.6276912619533,18.7966631708473,18.9585135899702,19.1014858115667,19.2487976081794,19.3895694842132,19.5374964721595,19.6823108448134,19.8335304838541,19.970711802266,20.0945930517333,20.2071032819185,20.4062632915116,20.6484108037757,20.7555533303814,
Namibie,Namibia,Densité de la population (personnes par kilomètre carré de superficie des terres),2.20899925907032,2.2556426046715,2.29563094413876,2.32902622405228,2.35892820269893,2.38868685396397,2.4194245041237,2.45186993647439,2.48643369893962,2.52328341167754,2.56265835853709,2.60700968067145,2.66571196054853,2.73598367525416,2.80841380315563,2.88391696728978,2.96276281747622,3.04492098774429,3.13052144444849,3.21939292351419,3.31446027523716,3.41380072635402,3.50989566252475,
Nouvelle-Calédonie,New Caledonia,Densité de la population (personnes par kilomètre carré de superficie des terres),12.2044857768053,12.4566192560175,12.7043763676149,12.9473741794311,13.1757111597374,13.3687636761488,13.5419584245077,13.7158096280088,13.8853938730853,14.0727571115974,14.3097374179431,14.5811269146608,14.8595733041575,15.1434354485777,15.3842450765864,15.490590809628,15.5045404814004,15.5112691466083,15.5109956236324,15.5145514223195,15.5457330415755,15.6025164113786,15.7069474835886,
Niger,Niger,Densité de la population (personnes par kilomètre carré de superficie des terres),9.08631088655562,9.41078945290913,9.74906765611431,10.1026162469409,10.4727528222942,10.8598657930054,11.2643727796637,11.6867529801847,12.1275084866188,12.5867806110366,13.0645259335281,13.5598665824584,14.0812891766006,14.6205873529644,15.1700552617036,15.741294702771,16.3304278834768,16.9222752032841,17.5164356201153,18.1161735217494,18.7239385805637,19.3432857030078,19.9826107207705,
Nigéria,Nigeria,Densité de la population (personnes par kilomètre carré de superficie des terres),138.764445469218,142.585499083193,146.548512796864,150.64466769876,154.876692249415,159.224889928302,163.682745369303,168.28316808854,173.034919902939,177.925781481603,182.969230431393,188.170007795602,193.463360672837,198.787227291193,204.109616039176,209.352391932101,214.591719094832,219.873929751749,225.017024056568,230.009377779242,234.961824609945,239.939047179859,245.013445765671,
Nicaragua,Nicaragua,Densité de la population (personnes par kilomètre carré de superficie des terres),41.7370201096892,42.2787518697025,42.7946568057171,43.3020026591325,43.8167857736413,44.391764999169,45.029541299651,45.6809290344025,46.340310786106,47.0051603789264,47.676998504238,48.355085590826,49.0384493933854,49.7244889479807,50.4112680737909,51.100357320924,51.7921389396709,52.4865464517201,53.1833139438258,53.8778211733422,54.5559830480306,55.2163952135616,55.9303141100216,
Pays-Bas,The Netherlands,Densité de la population (personnes par kilomètre carré de superficie des terres),471.727280805687,475.30154028436,478.345053317536,480.607286729858,482.280183649289,483.408412322275,484.185456161137,485.23981042654,487.132494075829,490.079691669137,492.599881411207,495.049644128114,496.884994068802,498.795844464233,500.593885425942,503.116216216216,505.800831600832,508.8,511.779744579745,515.143272943273,518.013068013068,520.731927531928,525.719691119691,
Norvège,Norway,Densité de la population (personnes par kilomètre carré de superficie des terres),12.2957995203207,12.358179737381,12.4250062971603,12.4980971624448,12.5721709323083,12.6580888392417,12.760447810231,12.89317004523,13.0548674310872,13.2205484552792,13.3862623342204,13.5610386481366,13.7403297521657,13.9120886837683,14.0704449094514,14.2079384825517,14.3354243797401,14.452576255125,14.5488896436123,14.6479975020132,14.7672152298338,14.8470090866665,14.9809948664452,
Népal,Nepal,Densité de la population (personnes par kilomètre carré de superficie des terres),171.234802929892,174.026843390303,176.693275200558,179.203055458668,181.490449947681,183.533017091036,185.318625741193,186.874726194629,188.28069061737,189.557272410185,190.73562608999,191.59047087548,192.081723055459,192.465964422742,193.040599930241,194.095772584583,195.015430763865,195.404659923265,195.882029996512,198.214607603767,202.068880362749,205.61569584932,207.292891524241,
Nauru,Nauru,Densité de la population (personnes par kilomètre carré de superficie des terres),508.4,506.5,504.1,502.95,503,502.45,501.7,501,500.45,500.8,502.15,504.9,513.35,525.85,537.1,547.7,557.5,566.2,573.85,579.35,582.15,585.45,590.05,
Nouvelle-Zélande,New Zealand,Densité de la population (personnes par kilomètre carré de superficie des terres),14.6507918423151,14.7373817933235,14.9956325244009,15.2945197675743,15.5235274011621,15.6997455470738,15.8922942539212,16.0411682047776,16.1778891800539,16.340435228438,16.5231096426266,16.6495765447571,16.7411036420949,16.8702290076336,17.1527856898713,17.5056017621815,17.9032319319433,18.2811135163875,18.6115225399719,18.9100300026585,19.3315863430937,19.4117200258251,19.4341270745509,
Pays membres de l'OCDE,OECD member countries,Densité de la population (personnes par kilomètre carré de superficie des terres),33.8553313965611,34.1056310911849,34.357561046114,34.6065614018299,34.8554194822352,35.100690031618,35.3556376628703,35.6067204909539,35.9011349042388,36.159037703626,36.3997130441199,36.586791797652,36.8079823483542,37.0346574424407,37.2700550224384,37.4988351349766,37.7205225778816,37.9430935795729,38.1659583857775,38.3698395994548,38.5823692797689,38.8250859625068,39.0398024744114,
Oman,Oman,Densité de la population (personnes par kilomètre carré de superficie des terres),7.37360581583199,7.464352180937,7.5513408723748,7.63746688206785,7.77001938610662,7.94766397415186,8.12534733441034,8.30427786752827,8.48636187399031,8.67418093699515,8.90935702746365,9.94107592891761,11.4607625201939,12.3874410339257,12.9319515347334,13.5214701130856,14.1870016155089,14.6604071082391,14.8558222940226,14.8343812600969,14.612268174475,14.5409499192246,15.2834442649435,
Autres petits états,Other small states,Densité de la population (personnes par kilomètre carré de superficie des terres),39.6523042166956,40.4022157904545,41.2529789184235,41.9640679848331,42.847956887181,43.5117614188719,42.0844471622841,42.8395780707438,43.5531323248941,44.287790993929,44.9172302092812,45.2128624573205,45.6974392574393,46.1179347727561,46.7897906499496,47.4635387019466,48.119913283377,49.024676325412,49.4561908769079,49.9136301315207,50.3588825656594,50.9263351081579,51.5717695365776,
Pakistan,Pakistan,Densité de la population (personnes par kilomètre carré de superficie des terres),200.912109537152,206.609208955998,211.735353102947,216.778549190536,222.195413034454,227.601198630137,233.087756849315,239.328080894562,245.821804950187,252.148886986301,258.456630085098,264.303218399751,269.389691002491,273.809124636779,277.948120330012,281.873810450394,285.568271326276,289.635179275633,294.376416562889,299.399256693649,304.848674242424,310.65509677252,316.133077781237,
Panama,Panama,Densité de la population (personnes par kilomètre carré de superficie des terres),40.4946058649448,41.2905165456013,42.0950228679042,42.9083535108959,43.7335889157923,44.5658595641646,45.3998385794996,46.2401129943503,47.0896959913909,47.9470137207425,48.8099946193167,49.6839521119182,50.5684153887544,51.4572101156847,52.5108067997841,53.4273475445224,54.3589584457636,55.298259579061,56.1857643569695,57.0868158533297,57.87626044756,58.5791992450795,59.3255998921542,
Pérou,Peru,Densité de la population (personnes par kilomètre carré de superficie des terres),20.77994609375,21.06609453125,21.31891953125,21.5472578125,21.7595234375,21.954046875,22.12850859375,22.28960859375,22.43675078125,22.57563359375,22.72345234375,22.8938171875,23.0862234375,23.29524921875,23.5279890625,23.795,24.1144484375,24.47237265625,24.9199875,25.35101796875,25.65513984375,25.9030328125,26.1526859375,
Philippines,Philippines,Densité de la population (personnes par kilomètre carré de superficie des terres),267.046976556998,273.003615387195,278.59573062347,284.172904718785,289.749149813865,295.187181809035,300.194472951672,305.447174430694,310.893433276319,316.545091726196,323.094627226079,329.505362712547,335.96777677164,342.342744072174,348.013314552101,353.197813327967,357.969342992253,362.61090317604,367.123744843546,371.615799711574,375.897186168964,379.317000368917,382.21262367106,
Palaos,Palau,Densité de la population (personnes par kilomètre carré de superficie des terres),41.6913043478261,42.0695652173913,42.3978260869565,42.7369565217391,43.0869565217391,43.0847826086957,42.5934782608696,41.9608695652174,41.3239130434783,40.6717391304348,39.9913043478261,39.3,38.6195652173913,38.3652173913043,38.5108695652174,38.6304347826087,38.6891304347826,38.7217391304348,38.7260869565217,38.6913043478261,38.6782608695652,38.6586956521739,38.6065217391304,
Papouasie-Nouvelle-Guinée,Papua New Guinea,Densité de la population (personnes par kilomètre carré de superficie des terres),12.2268780638608,12.6494612021375,13.0813121052864,13.5229364483505,13.9735039526565,14.4325067349733,14.9002340679239,15.3763745970057,15.8614185399461,16.354807225191,16.8562535883054,17.3549132182131,17.8452281058164,18.3339177670803,18.8213598021464,19.306730556905,19.7891577971117,20.268325751888,20.744850505675,21.2185001987369,21.6750121450338,22.1103564015369,22.5305149494325,
Pologne,Poland,Densité de la population (personnes par kilomètre carré de superficie des terres),124.909820758105,124.875366482745,124.81753893369,124.753689916405,124.644083178272,124.589315444129,124.514452206843,124.44685296422,124.471952334313,124.564460624265,124.209200731357,124.296296901022,124.300058781268,124.229110740995,124.144273163722,124.061569613639,124.008253045495,124.0237303635,124.031583760656,124.025595374212,123.800574919152,120.815285854296,120.297131562612,
de Pré-dividende démographique,demographic pre-dividend,Densité de la population (personnes par kilomètre carré de superficie des terres),31.6130979511473,32.521387662659,33.5065579014446,34.5269969092767,35.5087697844872,36.5684346004201,37.6301036036731,38.6683549423594,39.7953364841007,41.009318212179,42.2291584604966,43.4930692276075,39.2932362628661,40.482103410421,41.6777917953588,42.8676680117645,44.0815584681259,45.3287624097443,46.5966013671188,47.8761105936639,49.1722883716943,50.4690763570164,51.7611956981529,
Porto Rico,Puerto Rico,Densité de la population (personnes par kilomètre carré de superficie des terres),429.605975197294,430.52694475761,431.082412626832,431.352311161218,431.440586245772,430.818714768884,428.998196166855,426.493235625705,423.998421645998,421.69222096956,419.56313416009,414.738669673055,409.750620067644,405.081961668546,398.520180383315,391.570687711387,384.066741826381,374.891319052988,360.017361894025,360.055693348365,369.961330326945,367.834611048478,363.034160090192,
"Corée, République démocratique de","Korea, Democratic Republic of",Densité de la population (personnes par kilomètre carré de superficie des terres),196.544390000831,197.785549372976,198.853691553858,200.069595548542,201.436284361764,202.611352877668,203.67500207624,204.687177144755,205.669113860975,206.613503861805,207.518129723445,208.436790964206,209.382343659165,210.360028236857,211.371663483099,212.402209118844,213.423519641226,214.414990449298,215.357088281704,216.241441740719,217.060975002076,217.860094676522,218.659953492235,
Portugal,Portugal,Densité de la population (personnes par kilomètre carré de superficie des terres),112.457901639344,113.253792349727,113.87574863388,114.304054644809,114.577715846995,114.828140373893,115.035399584563,115.261440909588,115.427757734776,115.386472322306,115.439458456163,115.269789278305,114.803406485424,114.156128691384,113.541770372117,113.072519583956,112.716384151187,112.441815784188,112.261935951514,112.288582794065,112.406676011074,113.113510527741,113.904957775507,
Paraguay,Paraguay,Densité de la population (personnes par kilomètre carré de superficie des terres),12.8388321167883,13.0573596778253,13.242708280896,13.4065844450038,13.5619808708784,13.7128039265039,13.8564007047571,13.9929171910395,14.1293078278379,14.2744424867858,14.4424137931034,14.6353536370501,14.842708280896,15.0577523282155,15.2776516486282,15.5023986911654,15.7289856531588,15.9543418071986,16.1776541656179,16.3983337528316,16.621542914674,16.8240171155298,17.0713596633508,
Cisjordanie et Gaza,West Bank and Gaza,Densité de la population (personnes par kilomètre carré de superficie des terres),485.407475083056,497.970764119601,510.859302325581,524.08122923588,537.645514950166,551.560797342193,565.836212624585,580.481063122924,596.673920265781,612.807142857143,628.930398671096,645.014285714286,661.129235880399,677.194019933555,693.255481727575,709.317607973422,725.429900332226,740.000830564784,758.984551495017,778.290033222591,797.885215946844,817.05377593361,,
Petits états insulaires du Pacifique,Pacific small island states,Densité de la population (personnes par kilomètre carré de superficie des terres),31.8111214953271,32.2289252336449,32.6366510903427,33.0310280373832,33.4190809968847,33.8010747663551,34.1785825545171,34.5518691588785,34.902476635514,35.2407476635514,35.6604205607477,36.1510747663551,36.6343302180685,37.1173052959502,37.6065109034268,38.0995171339564,38.5949221183801,39.1270303975058,39.626017147311,40.0414029618083,40.460202650039,40.9274045206547,41.4037256430242,
de Post-dividende démographique,Post-demographic dividend,Densité de la population (personnes par kilomètre carré de superficie des terres),32.5689395361271,32.7271541773289,32.8944535669136,33.0579383202836,33.22850546291,33.3943732726056,33.5757669975988,33.7740731578793,33.9941421994666,34.1667663051823,34.3233860844436,34.4172062565357,34.56068590401,34.7142865181797,34.8731310985504,35.0266201482904,35.1719633397394,35.3041969948035,35.4272321356093,35.5273927810636,35.6595443238992,35.8377185561404,35.8565331191719,
Polynésie française,French Polynesia,Densité de la population (personnes par kilomètre carré de superficie des terres),69.241428983002,70.3246902909824,71.3843272832037,72.4969749351772,73.6542783059637,74.7643330452319,75.8349178910977,76.7611639297033,77.320368769807,77.637856525497,77.9544799769519,78.2849322961683,78.675885911841,79.1495246326707,79.6274848746759,80.0535868625756,80.431575914722,80.6934600979545,80.6150965139729,80.3900893114376,80.4405070584846,80.6084701815039,80.7772976087583,
Qatar,Qatar,Densité de la population (personnes par kilomètre carré de superficie des terres),55.5546080964686,58.3914728682171,61.2579672695952,64.1414298018949,66.6091300602929,71.0945736434109,83.7925064599483,104.099483204134,122.905943152455,138.579069767442,139.262015503876,139.94496124031,148.358139534884,165.066838931955,187.271105308964,204.051958224543,215.588598781549,221.568320278503,224.606962576153,229.648128807659,243.180852915579,218.007832898172,231.273542210618,
Roumanie,Romania,Densité de la population (personnes par kilomètre carré de superficie des terres),97.701323407775,96.3474380740934,94.5338495671466,93.8218134377039,93.2684695652174,92.7023436820593,92.1547960692234,90.8390186610988,89.3339495432797,88.5311962096844,88.0107411432297,87.5332493374462,87.201265107382,86.8742903099596,86.5306806328234,86.1248956884562,85.6322453059805,85.1387126216968,84.6399947844228,84.1952712100139,83.7328320584145,83.1104789638387,82.7907771210014,
Fédération de Russie,Russian Federation,Densité de la population (personnes par kilomètre carré de superficie des terres),8.94901570933758,8.91163375342787,8.87046146313948,8.83027865243716,8.79465803239439,8.76108889416588,8.73439418381291,8.71946397976766,8.71609568861449,8.71872024385612,8.72263552192818,8.73293828429975,8.75493589434367,8.78102091547408,8.80737424184231,8.8320122221157,8.85489473873823,8.87185768709161,8.87825976514438,8.88162945666663,8.86891988517952,8.83848757424343,8.80735653394086,
Rwanda,Rwanda,Densité de la population (personnes par kilomètre carré de superficie des terres),332.952209160924,335.917875962708,340.501824077827,348.069517632752,357.391325496555,367.025861370085,376.945520875557,387.107134171058,397.416659910823,407.800243210377,418.222659100122,428.606931495744,438.990717470612,449.669233887313,460.671139035266,471.829023104986,483.144831779489,494.611268747467,506.201702472639,517.880137819214,529.624523713012,541.35630320227,553.345358735306,
Asie du Sud,South Asia,Densité de la population (personnes par kilomètre carré de superficie des terres),295.894493392532,301.658471325035,307.416552718313,313.074989471214,318.762132758968,324.200659324029,329.55598395874,334.808275799333,339.980490036884,345.259093215666,350.55726798055,355.7923397598,360.888568244418,365.621054478283,370.345010330234,374.935845563957,379.432237764921,383.944245231341,388.425257917824,392.876541856779,397.294856733164,401.303021517278,405.08185831803,
Arabie saoudite,Saudi Arabia,Densité de la population (personnes par kilomètre carré de superficie des terres),7.52560694797855,7.92737417953286,8.33185715149626,8.73929124664486,9.1499146388549,9.56411854732543,9.9824365373612,10.4053668203322,10.8331326842475,11.2656494657369,11.1543929589848,11.6723187994548,12.1733184784783,12.8502267768841,13.1690025073383,13.8700845238151,14.399377584675,14.4101498355577,14.0468072140634,13.9851787932213,14.6777023663877,14.320382473752,14.9673785522564,
Soudan,Sudan,Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,,,,,,,19.7661552462527,20.2279705567452,20.7833608137045,21.4263549250535,22.0877366167024,22.8663308351178,23.6780492505353,24.3833913276231,25.0477682012848,25.7317580299786,26.4364807280514,
Sénégal,Senegal,Densité de la population (personnes par kilomètre carré de superficie des terres),51.775099984418,53.0459772502987,54.3614709395938,55.6857424816912,57.0077598296369,58.3569937152652,59.7314392562198,61.1351166052044,62.5822417285618,64.0803459201163,65.6282813068093,67.3084558250662,69.1346543395834,71.2140913104451,73.5059575131148,75.7976990598868,78.0892380408248,80.3770944787825,82.6598348309354,84.9370072196541,87.2031319794318,89.4451098530099,91.6797538046019,
Singapour,Singapore,Densité de la population (personnes par kilomètre carré de superficie des terres),6011.77164179105,6176.13731343284,6186.59259259259,5989.55749636099,6047.40783744557,6191.23657474601,6342.02449567723,6602.30071942446,6913.42285714286,7125.10428571429,7231.81196581197,7363.19318181818,7524.69830028329,7636.72135785007,7714.7023977433,7806.77291960508,7908.72073342736,7882.37780898876,7897.30532212885,7965.87849162011,7918.95125348189,7595.49582172702,7851.00557103064,
Îles Salomon,Solomon Islands,Densité de la population (personnes par kilomètre carré de superficie des terres),15.7366559485531,16.0459092533048,16.3512325830654,16.6543051089675,16.9564487316899,17.2590210789568,17.5632011432655,17.8690961057521,18.1775634155055,18.5116470167917,19.0413719185423,19.7550911039657,20.4932475884244,21.2556270096463,22.0403001071811,22.8444087173991,23.6648445873526,24.497034655234,25.3340836012862,26.014540907467,26.5987138263666,27.2451232583065,27.9051804215791,
Sierra Leone,Sierra Leone,Densité de la population (personnes par kilomètre carré de superficie des terres),61.2858270989194,65.0140759213078,68.8755195344971,71.7329869770019,74.199459684123,76.2221113881962,77.9227763923524,79.65297866445,81.6669714602383,83.8964533111665,86.2110556940981,88.4905929620393,90.7603214186755,93.0181629260183,95.2671792740371,97.5014546965918,99.8244389027431,102.234677195899,104.662829038515,107.120961485176,109.622582432807,112.144666112497,114.66898032696,
El Salvador,El Salvador,Densité de la population (personnes par kilomètre carré de superficie des terres),286.841988416988,288.033783783784,288.930067567568,289.507673745174,289.800723938224,289.844498069498,289.68721042471,290.049420849421,290.989237451737,291.905357142857,292.86916023166,293.925048262548,295.076013513513,296.276013513514,297.439913127413,298.439961389961,299.266409266409,299.880936293436,300.183735521236,300.304922779923,300.901206563707,301.919980694981,303.104198841699,
Saint-Marin,San Marino,Densité de la population (personnes par kilomètre carré de superficie des terres),446.65,452.383333333333,458.183333333333,464.05,490.95,497.266666666667,503.066666666667,520.183333333333,527.7,551.1,554.5,543.666666666667,557.816666666667,550.683333333333,544.25,548.283333333333,551.683333333333,563.75,575.366666666667,577.716666666667,579.5,570.866666666667,562.583333333333,
