Country FR,Country,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Estonie,Estonia,Densité de la population (personnes par kilomètre carré de superficie des terres),32.9555319650861,32.7462845010616,32.5395140363293,32.3359282849729,32.1431941495636,31.9597782495872,31.7718801604152,31.6272705826846,31.5425807973579,31.4818353385232,31.4101203113942,31.3149091766926,31.2030195800896,30.3196917414309,30.2402806533241,30.26011042098,30.2689210950081,30.816,30.9234385964912,31.0385497076023,31.0999298245614,31.1329122807018,31.5665808565411,
Éthiopie,Ethiopia,Densité de la population (personnes par kilomètre carré de superficie des terres),67.411494,69.487762,71.635517,73.832663,67.4086372526321,69.4377847665754,71.5067748631684,73.6318622061839,75.7983969601131,77.9802631357432,80.224030211657,82.537679592612,84.8841807786957,87.224157853982,89.598740246565,92.0367822337439,94.5614799764478,97.1744352590326,99.8298825389562,102.552159549746,105.370090895445,108.224068056306,111.100003951899,
Union européenne,European Union,Densité de la population (personnes par kilomètre carré de superficie des terres),107.43763087465,107.593852597114,107.872966207453,108.243847313831,108.657299011667,109.051115917482,109.423688997011,109.793177466731,110.161199841018,110.396502496182,110.515458707326,110.322923785657,110.481541973593,110.710829075724,110.965902844436,111.223650207574,111.447083613512,111.640012163912,111.828798024386,111.919510472062,112.006924502592,111.730640437388,112.05440196746,
Fragile et les situations de conflit touchées,Fragile and conflict affected situations,Densité de la population (personnes par kilomètre carré de superficie des terres),34.9738461112598,35.7833865647507,36.6680320074817,37.5900794569453,38.1903376045796,39.126278999234,40.0809562389933,41.0345657218678,42.0342288069928,43.0968157261795,44.1746732111783,45.2663436751894,40.7174262772237,41.7129335560299,42.6876947846047,43.6408942471445,44.6171666788957,45.6145751160756,46.623251420795,47.6584758046481,48.7277091913996,49.8033551759239,50.7660980253332,
Finlande,Finland,Densité de la population (personnes par kilomètre carré de superficie des terres),16.9940214714863,17.0327587905053,17.0740930431071,17.1148560359828,17.1646212941988,17.2234676122,17.3169839860577,17.3919563287185,17.4840375123396,17.5678545574202,17.6484106614018,17.7309947678436,17.8155615518773,17.8978314521702,17.9720030274112,18.0301108880919,18.0820078312658,18.1238944459068,18.1479501184522,18.1673609054717,18.1928768835954,18.2301659134121,18.2798093224591,
Fidji,Fiji,Densité de la population (personnes par kilomètre carré de superficie des terres),46.0267651888342,46.5022441160372,46.9649151614669,47.415763546798,47.8580186097428,48.2966064586754,48.7337164750958,49.1424192665572,49.4471264367816,49.6573070607553,49.8313628899836,49.972030651341,50.0776135741653,50.1561029009305,50.2235905856596,50.2779419813903,50.3101258894362,50.2878489326765,50.2014230979748,50.0765736179529,50.0800766283525,50.1757525998905,50.3241379310345,
France,France,Densité de la population (personnes par kilomètre carré de superficie des terres),111.253346165857,112.067339704548,112.885075251065,113.622202103795,114.520392938216,115.386807218244,116.193094052309,116.913654651479,117.567880604211,118.172968293712,118.756971420327,119.331558175679,119.910181040513,120.531619539153,121.105322368265,121.536702115031,121.857823021165,122.211970625889,122.650880182337,123.05944586591,123.45949371481,123.90091077276,124.306720578862,
Îles Féroé,Faroe Islands,Densité de la population (personnes par kilomètre carré de superficie des terres),32.7750716332378,33.4061604584527,33.9075931232092,34.4068767908309,34.6590257879656,34.64111747851,34.6239255014327,34.6547277936963,34.775787965616,34.9505730659026,34.8545845272206,34.7729226361032,34.5924068767908,34.5601719197708,34.6905444126075,35.0293696275072,35.432664756447,35.9469914040115,36.5315186246418,37.102435530086,38.4853587115666,38.9160583941606,39.3810218978102,
"Micronésie, États fédérés de","Micronesia, Federated States of",Densité de la population (personnes par kilomètre carré de superficie des terres),160.062857142857,160.521428571429,160.64,160.407142857143,159.892857142857,159.16,158.184285714286,156.971428571429,155.622857142857,154.224285714286,153.628571428571,153.854285714286,154.128571428571,154.458571428571,154.851428571429,155.308571428571,155.821428571429,156.401428571429,157.012857142857,157.545714285714,158.451428571429,159.462857142857,160.162857142857,
Gabon,Gabon,Densité de la population (personnes par kilomètre carré de superficie des terres),4.950409438429,5.08242713548337,5.22037877905849,5.36480769977103,5.5171692474871,5.67972600613187,5.85375480265456,6.03965149221873,6.23733845616486,6.44838747234835,6.67473512632437,6.91576434974968,7.16765242364264,7.42445375868359,7.67803391935421,7.92094151434005,8.15114681569449,8.37078433655451,8.58585788023441,8.80081499592502,9.01361819381379,9.22389878526798,9.43356618931191,
